WARN (translation.language): source/blender/blentranslation/intern/blt_lang.cc:214 BLT_lang_init: Falling back to standard locale ("C")
Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:30:47)
Read blend: "/Users/xiaruonan/nihongo-art-work/desktop-v1/art-source/desktop-v1/yorimichi-shop.blend"
Fra:1 Mem:127.72M (Peak 127.72M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.084
Fra:1 Mem:127.75M (Peak 127.75M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.085
Fra:1 Mem:127.76M (Peak 127.76M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.086
Fra:1 Mem:127.78M (Peak 127.78M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.087
Fra:1 Mem:127.83M (Peak 127.83M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.088
Fra:1 Mem:127.84M (Peak 127.84M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.089
Fra:1 Mem:127.85M (Peak 127.85M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.090
Fra:1 Mem:127.86M (Peak 127.86M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.092
Fra:1 Mem:127.88M (Peak 127.88M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.093
Fra:1 Mem:127.92M (Peak 127.92M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.094
Fra:1 Mem:127.94M (Peak 127.94M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.095
Fra:1 Mem:127.97M (Peak 127.97M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Full side plaster wall
Fra:1 Mem:127.95M (Peak 127.97M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper storey front plaster
Fra:1 Mem:127.96M (Peak 127.97M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Interior ceiling
Fra:1 Mem:128.00M (Peak 128.00M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Mortised facade upright
Fra:1 Mem:127.98M (Peak 128.00M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Mortised facade upright.001
Fra:1 Mem:128.03M (Peak 128.03M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Mortised facade upright.002
Fra:1 Mem:128.08M (Peak 128.08M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Mortised facade upright.003
Fra:1 Mem:128.10M (Peak 128.10M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Entrance lintel
Fra:1 Mem:128.10M (Peak 128.10M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Panel lower apron
Fra:1 Mem:128.11M (Peak 128.11M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Window inner jamb
Fra:1 Mem:128.12M (Peak 128.12M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Window top rebate
Fra:1 Mem:128.13M (Peak 128.13M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Recessed glazing
Fra:1 Mem:128.18M (Peak 128.18M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Slender glazing mullion
Fra:1 Mem:128.20M (Peak 128.20M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Recessed glazing.001
Fra:1 Mem:128.23M (Peak 128.23M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Slender glazing mullion.001
Fra:1 Mem:128.25M (Peak 128.25M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Recessed glazing.002
Fra:1 Mem:128.26M (Peak 128.26M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Slender glazing mullion.002
Fra:1 Mem:128.26M (Peak 128.26M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Apron vertical slat
Fra:1 Mem:128.27M (Peak 128.27M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Apron vertical slat.002
Fra:1 Mem:128.29M (Peak 128.29M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Apron vertical slat.003
Fra:1 Mem:128.34M (Peak 128.34M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Apron vertical slat.004
Fra:1 Mem:128.36M (Peak 128.36M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Apron vertical slat.005
Fra:1 Mem:128.39M (Peak 128.39M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Apron vertical slat.006
Fra:1 Mem:128.39M (Peak 128.39M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Apron vertical slat.007
Fra:1 Mem:128.40M (Peak 128.40M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Apron vertical slat.009
Fra:1 Mem:128.40M (Peak 128.40M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Apron vertical slat.011
Fra:1 Mem:128.40M (Peak 128.40M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Apron vertical slat.012
Fra:1 Mem:128.44M (Peak 128.44M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Apron vertical slat.013
Fra:1 Mem:128.49M (Peak 128.49M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Panel lower apron.001
Fra:1 Mem:128.49M (Peak 128.49M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Window inner jamb.002
